sample-id,source,dry-mass,quality-ng-ul,sample-num,clean,collect-date,source-year,collect-time,x-decimal-deg,y-decimal-deg
CONI-RSM408-1,RSM,0.029,0.545,1,y,12/19/2020,RSM-1,22:04,-27.52649,-56.63292
CONI-RSM408-2,RSM,0.055,32.5,2,NA,12/7/2021,RSM-2,21:33,-27.52266,-56.61322
CONI-RSM411,RSM,0.086,0.259,1,y,12/21/2020,RSM-1,22:30,-27.52041,-56.60526
CONI-RSM412,RSM,0.061,0.332,1,y,1/7/2021,RSM-1,21:12,-27.53105,-56.63284
CONI-RSM413-1,RSM,0.018,0.797,1,n,1/7/2021,RSM-1,21:27,-27.5302,-56.63189
CONI-RSM413-2,RSM,0.014,10.3,2,y,2/6/2021,RSM-1,22:19,-27.52387,-56.61725
CONI-RSM413-3,RSM,0.01,5.36,3,NA,1/20/2021,RSM-1,21:38,-27.52307,-57.61348
CONI-RSM413-4,RSM,0.019,1.29,4,y,1/23/2021,RSM-1,22:11,-27.52406,-56.61795
CONI-RSM413-5,RSM,0.017,0.269,5,y,2/18/2021,RSM-1,21:23,-27.52389,-56.61737
CONI-RSM414,RSM,0.061,0.303,1,y,1/7/2021,RSM-1,22:00,-27.53051,-56.63231
CONI-RSM418-1,RSM,0.005,101.9,1,y,1/7/2021,RSM-1,23:58,-27.52263,-56.61325
CONI-RSM418-2,RSM,0.078,0.304,2,y,1/8/2021,RSM-1,23:21,-27.52407,-56.61686
CONI-RSM420-1,RSM,0.003,0.475,1,y,1/8/2021,RSM-1,21:12,-27.53127,-56.63306
CONI-RSM420-2,RSM,0.002,0.485,2,y,1/8/2021,RSM-1,21:12,-27.53127,-56.63306
CONI-RSM420-3,RSM,0.005,78.6,3,y,1/17/2021,RSM-1,21:45,-27.53044,-56.63224
CONI-RSM421,RSM,0.031,0.332,1,y,1/8/2021,RSM-1,21:27,-27.53092,-56.63274
CONI-RSM422,RSM,0.02,0.201,1,n,1/8/2021,RSM-1,22:59,-27.5231,-56.61362
CONI-RSM423-1,RSM,0.001,102.8,1,y,1/8/2021,RSM-1,23:36,-27.52446,-56.61824
CONI-RSM424-1,RSM,0.037,0.221,1,y,1/9/2021,RSM-1,0:39,-27.52182,-56.61022
CONI-RSM424-2,RSM,0.079,1.07,2,y,1/9/2021,RSM-1,23:47,-27.52417,-56.61723
CONI-RSM424-3,RSM,0.032,0.285,3,y,2/18/2021,RSM-1,21:14,-27.52212,-56.61118
CONI-RSM424-4,RSM,0.12,51.4,4,y,1/18/2022,RSM-2,23:20,-27.51932,-56.60042
CONI-RSM424-5,RSM,0,3.77,5,y,1/13/2022,RSM-2,21:04,-27.52019,-56.52019
CONI-RSM424-7,RSM,0,3.94,7,n,3/1/2022,RSM-2,20:55,-27.522,-56.61078
CONI-RSM425,RSM,0.034,0.641,1,y,1/9/2021,RSM-1,0:20,-27.51949,-56.60227
CONI-RSM427-1,RSM,0,1.49,1,n,1/9/2021,RSM-1,22:25,-27.52554,-56.63361
CONI-RSM427-2,RSM,0.05,48.4,2,n,2/23/2021,RSM-1,20:28,NA,NA
CONI-RSM428,RSM,0.074,0.123,1,n,1/9/2021,RSM-1,23:10,-27.51987,-56.63039
CONI-RSM429-1,RSM,0.01,15,1,y,1/10/2021,RSM-1,0:36,-27.52203,-56.61099
CONI-RSM429-2,RSM,0.011,1.13,2,y,1/18/2021,RSM-1,21.2,-27.51987,-56.60356
CONI-RSM431-1,RSM,0.015,9.03,1,n,1/10/2021,RSM-1,21:33,-27.53043,-56.63219
CONI-RSM431-2,RSM,0.028,39,2,y,1/18/2021,RSM-1,3:11,-27.51882,-56.59979
CONI-RSM431-3,RSM,0.036,2.61,3,n,1/20/2022,RSM-2,21:34,-27.51724,-56.59428
CONI-RSM432-2,RSM,0.014,15.6,1,y,2/17/2021,RSM-1,21:44,-27.52244,-56.6126
CONI-RSM434-1,RSM,0,7.15,1,y,1/15/2021,RSM-1,21:29,-27.51991,-56.62944
CONI-RSM440,RSM,0.021,31.4,1,y,1/18/2021,RSM-1,23:19,-27.51549,-56.58396
CONI-RSM442,RSM,0.042,8.25,1,NA,1/23/2021,RSM-1,22:26,-27.51889,-56.60006
CONI-RSM456,RSM,0.033,0.261,1,n,2/5/2021,RSM-1,21:48,-27.52171,-56.6098
CONI-RSM457,RSM,0.036,33.5,1,NA,2/5/2021,RSM-1,23:00,-27.52062,-56.62869
CONI-RSM458,RSM,0.006,4.03,1,y,2/22/2021,RSM-1,22:54,-27.52084,-56.62848
CONI-RSM460-1,RSM,0.015,82.5,1,y,2/17/2021,RSM-1,22:02,-27.52403,-56.61783
CONI-RSM460-2,RSM,0,0.64,2,y,2/23/2021,RSM-1,21:45,-27.52394,-56.6164
CONI-RSM460-3,RSM,0.015,0.174,3,y,3/5/2021,RSM-1,20:48,-27.52316,-56.61379
CONI-RSM462,RSM,0.142,17.8,1,y,2/17/2021,RSM-1,22:31,-27.52196,-56.61066
CONI-RSM463-1,RSM,0.006,7.37,1,n,2/25/2021,RSM-1,21:59,-27.52435,-56.62483
CONI-RSM463-2,RSM,0.009,40.7,2,y,12/16/2021,RSM-2,21:43,-27.52319,-56.61502
CONI-RSM463-3,RSM,0,4.04,3,y,12/16/2021,RSM-2,21:43,-27.52319,-56.61502
CONI-RSM463-4,RSM,0.09,0.559,4,y,2/18/2021,RSM-1,21:34,-27.52397,-56.61773
CONI-RSM463-5,RSM,0.018,29.5,5,n,2/22/2021,RSM-1,22:31,-27.5237,-56.61559
CONI-RSM464-1,RSM,0.047,13.2,1,y,2/21/2021,RSM-1,22:00,-27.52404,-56.61798
CONI-RSM464-2,RSM,0.013,1.76,2,y,2/22/2021,RSM-1,23:32,-27.52537,-56.62252
CONI-RSM465,RSM,0.052,6.86,1,y,2/21/2021,RSM-1,22:16,-27.52396,-56.61768
CONI-RSM1126,RSM,0.006,0.054,1,NA,12/7/2021,RSM-2,21:12,-27.52182,-56.61024
CONI-RSM1142,RSM,0.042,35.5,1,n,1/18/2021,RSM-1,4:13,-27.52398,-56.61657
CONI-RSM1144,RSM,0.008,0.794,1,n,1/6/2022,RSM-2,21:36,-27.53026,-56.632
CONI-RSM1145-1,RSM,0.053,0.344,1,NA,1/7/2022,RSM-2,22:50,-27.51655,-56.58452
CONI-RSM1145-2,RSM,0.015,3.5,2,NA,1/7/2022,RSM-2,22:50,-27.51655,-56.58452
CONI-RSM1146,RSM,0.036,0.859,1,NA,1/9/2022,RSM-2,21:46,-27.51957,-56.6024
CONI-RSM1151-1,RSM,0.073,0.718,1,NA,1/16/2022,RSM-2,22:24,-27.52477,-56.61921
